IDCode,SiteCode,RefCode,BatGenus,BatSpecies,CurrentBatSpecies,TrophicGuild,PlantFamily,PlantGenus,PlantSpecies,CurrentPlantSpecies,LifeForm,SuccessionalStage,Interaction,Weight
BPI2170,BPA151,BPR126,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2171,BPA151,BPR126,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus sp.,Pilosocereus sp.,Succulent,NA,Frugivory,NA
BPI2172,BPA151,BPR126,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Muntingiaceae,Muntingia,Muntingia calabura,Muntingia calabura,Tree,NA,Frugivory,NA
BPI2173,BPA152,BPR127,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2174,BPA152,BPR127,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2175,BPA152,BPR127,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2176,BPA152,BPR127,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Nectarivory,NA
BPI2177,BPA152,BPR127,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Nectarivory,NA
BPI2178,BPA152,BPR127,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Nectarivory,NA
BPI2179,BPA152,BPR127,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Cactaceae,Pilosocereus,Pilosocereus sp.,Pilosocereus sp.,Succulent,NA,Nectarivory,NA
BPI2180,BPA152,BPR127,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Cactaceae,Pilosocereus,Pilosocereus sp.,Pilosocereus sp.,Succulent,NA,Nectarivory,NA
BPI2181,BPA152,BPR127,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus sp.,Pilosocereus sp.,Succulent,NA,Nectarivory,NA
BPI2182,BPA152,BPR127,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus sp.,Pilosocereus sp.,Succulent,NA,Frugivory,NA
BPI2183,BPA152,BPR127,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Cereus,Cereus hexagonus,Cereus hexagonus,Succulent,NA,Nectarivory,NA
BPI2184,BPA152,BPR127,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Praecereus,Monvillea smithiana,Praecereus euchlorus smithianus,Succulent,NA,Nectarivory,NA
BPI2185,BPA153,BPR128,Platalina,Platalina genovensium,Platalina genovensium,Nectarivore,Cactaceae,Weberbauerocereus,Weberbauerocereus weberbaueri,Weberbauerocereus weberbaueri,Succulent,NA,Nectarivory,NA
BPI2186,BPA154,BPR129,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Gesneriaceae,Sinningia,Sinningia brasiliensis,Sinningia brasiliensis,Herb,Late,Nectarivory,NA
BPI2187,BPA154,BPR129,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Gesneriaceae,Paliavana,Paliavana prasinata,Paliavana prasinata,Shrub,NA,Nectarivory,NA
BPI2188,BPA154,BPR129,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Gesneriaceae,Paliavana,Paliavana prasinata,Paliavana prasinata,Shrub,NA,Nectarivory,NA
BPI2189,BPA155,BPR129,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Gesneriaceae,Sinningia,Sinningia brasiliensis,Sinningia brasiliensis,Herb,Late,Nectarivory,NA
BPI2190,BPA155,BPR129,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Gesneriaceae,Paliavana,Paliavana prasinata,Paliavana prasinata,Shrub,NA,Nectarivory,NA
BPI2191,BPA155,BPR129,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Gesneriaceae,Paliavana,Paliavana prasinata,Paliavana prasinata,Shrub,NA,Nectarivory,NA
BPI2192,BPA156,BPR130,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Passifloraceae,Passiflora,Passiflora mucronata,Passiflora mucronata,Vine,Late,Nectarivory,NA
BPI2193,BPA156,BPR130,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Passifloraceae,Passiflora,Passiflora mucronata,Passiflora mucronata,Vine,Late,Nectarivory,NA
BPI2194,BPA157,BPR130,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Musaceae,Musa,Musa acuminata,Musa acuminata,Herb,NA,Nectarivory,NA
BPI2195,BPA157,BPR130,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Musaceae,Musa,Musa acuminata,Musa acuminata,Herb,NA,Nectarivory,NA
BPI2196,BPA157,BPR130,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Leguminosae,Bauhinia,Bauhinia rufa,Bauhinia rufa,Tree,Late,Nectarivory,NA
BPI2197,BPA157,BPR130,Anoura,Anoura geoffrogyi,Anoura geoffroyi,Nectarivore,Leguminosae,Bauhinia,Bauhinia rufa,Bauhinia rufa,Tree,Late,Nectarivory,NA
BPI2198,BPA157,BPR130,Platyrrhinus,Vampyrops lineatus,Platyrrhinus lineatus,Frugivore,Musaceae,Musa,Musa acuminata,Musa acuminata,Herb,NA,Nectarivory,NA
BPI2199,BPA158,BPR131,Platyrrhinus,Vampyrops lineatus,Platyrrhinus lineatus,Frugivore,Lythraceae,Lafoensia,Lafoensia pacari,Lafoensia pacari,Tree,Late,Nectarivory,NA
BPI2200,BPA158,BPR131,Artibeus,Artibeus jamaicensis planirostris,Artibeus planirostris,Frugivore,Lythraceae,Lafoensia,Lafoensia pacari,Lafoensia pacari,Tree,Late,Nectarivory,NA
BPI2201,BPA158,BPR131,Anoura,Anoura geoffrogyi,Anoura geoffroyi,Nectarivore,Lythraceae,Lafoensia,Lafoensia pacari,Lafoensia pacari,Tree,Late,Nectarivory,NA
BPI2202,BPA159,BPR132,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Lythraceae,Lafoensia,Lafoensia glyptocarpa,Lafoensia glyptocarpa,Tree,NA,Nectarivory,4
BPI2203,BPA159,BPR132,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Bauhinia,Bauhinia rufa,Bauhinia rufa,Tree,Late,Nectarivory,2
BPI2204,BPA159,BPR132,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Bauhinia,Bauhinia sp.,Bauhinia sp.,NA,NA,Nectarivory,3
BPI2205,BPA159,BPR132,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Bauhinia,Bauhinia sp.,Bauhinia sp.,NA,NA,Nectarivory,1
BPI2206,BPA159,BPR132,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Leguminosae,Bauhinia,Bauhinia sp.,Bauhinia sp.,NA,NA,Nectarivory,1
BPI2207,BPA160,BPR133,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Passifloraceae,Passiflora,Passiflora mucronata,Passiflora mucronata,Vine,Late,Nectarivory,NA
BPI2208,BPA160,BPR133,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Passifloraceae,Passiflora,Passiflora mucronata,Passiflora mucronata,Vine,Late,Nectarivory,NA
BPI2209,BPA161,BPR134,Anoura,Anoura caudifera,Anoura caudifer,Nectarivore,Marcgraviaceae,Marcgravia,Marcgravia myriostigma,Marcgravia myriostigma,Vine,Late,Nectarivory,NA
BPI2210,BPA161,BPR134,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Marcgraviaceae,Marcgravia,Marcgravia myriostigma,Marcgravia myriostigma,Vine,Late,Nectarivory,NA
BPI2211,BPA162,BPR135,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Passifloraceae,Passiflora,Passiflora mucronata,Passiflora mucronata,Vine,Late,Nectarivory,NA
BPI2212,BPA162,BPR135,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Passifloraceae,Passiflora,Passiflora mucronata,Passiflora mucronata,Vine,Late,Nectarivory,NA
BPI2213,BPA163,BPR136,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Malvaceae,Luehea,Luehea speciosa,Luehea speciosa,NA,NA,Nectarivory,NA
BPI2214,BPA164,BPR137,Lonchophylla,Lonchophylla bokermanni,Lonchophylla bokermanni,Nectarivore,Bromeliaceae,Encholirium,Encholirium glaziovii,Encholirium subsecundum,Herb,NA,Nectarivory,NA
BPI2215,BPA165,BPR138,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Campanulaceae,Siphocampylus,Siphocampylus sulfureus,Siphocampylus sulfureus,Herb,Late,Nectarivory,NA
BPI2216,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Anacardiaceae,Mangifera,Mangifera indica,Mangifera indica,Tree,NA,Frugivory,NA
BPI2217,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Arecaceae,Syagrus,Syagrus romanzoffianus,Syagrus romanzoffiana,Palm-tree,Early,Frugivory,NA
BPI2218,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Caricaceae,Carica,Carica papaya,Carica papaya,Tree,Early,Frugivory,NA
BPI2219,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia hololeuca,Cecropia hololeuca,Tree,Late,Frugivory,NA
BPI2220,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachya,Cecropia pachystachya,Tree,Early,Frugivory,NA
BPI2221,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Clusiaceae,Calophyllum,Calophyllum brasiliense,Calophyllum brasiliense,Tree,Late,Frugivory,NA
BPI2222,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Combretaceae,Terminalia,Terminalia catappa,Terminalia catappa,NA,Early,Frugivory,NA
BPI2223,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Lythraceae,Lafoensia,Lafoensia glyptocarpa,Lafoensia glyptocarpa,Tree,NA,Nectarivory,NA
BPI2224,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus glabra,Ficus eximia,Tree,NA,Frugivory,NA
BPI2225,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus luschnatiana,Ficus luschnathiana,Tree,Early,Frugivory,NA
BPI2226,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Maclura,Maclura tinctoria,Maclura tinctoria,Tree,Late,Frugivory,NA
BPI2227,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Myrtaceae,Eugenia,Eugenia sp.,Eugenia sp.,tree,NA,Frugivory,NA
BPI2228,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Myrtaceae,Psidium,Psidium guayava,Psidium guajava,Tree,Late,Frugivory,NA
BPI2229,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Myrtaceae,Syzygium,Syzygium jambos,Syzygium jambos,Tree,Late,Frugivory,NA
BPI2230,BPA166,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Rosaceae,Eriobotrya,Eryobotrya japonica,Eriobotrya japonica,Tree,NA,Frugivory,NA
BPI2231,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Arecaceae,Syagrus,Syagrus romanzoffianus,Syagrus romanzoffiana,Palm-tree,Early,Frugivory,NA
BPI2232,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Caricaceae,Carica,Carica papaya,Carica papaya,Tree,Early,Frugivory,NA
BPI2233,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia hololeuca,Cecropia hololeuca,Tree,Late,Frugivory,NA
BPI2234,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachya,Cecropia pachystachya,Tree,Early,Frugivory,NA
BPI2235,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Clusiaceae,Calophyllum,Calophyllum brasiliense,Calophyllum brasiliense,Tree,Late,Frugivory,NA
BPI2236,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Combretaceae,Terminalia,Terminalia catappa,Terminalia catappa,NA,Early,Frugivory,NA
BPI2237,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Leguminosae,Inga,Inga uruguaensis,Inga uruguensis,Tree,NA,Frugivory,NA
BPI2238,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus glabra,Ficus eximia,Tree,NA,Frugivory,NA
BPI2239,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus luschnatiana,Ficus luschnathiana,Tree,Early,Frugivory,NA
BPI2240,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Maclura,Maclura tinctoria,Maclura tinctoria,Tree,Late,Frugivory,NA
BPI2241,BPA167,BPR139,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Myrtaceae,Psidium,Psidium guayava,Psidium guajava,Tree,Late,Frugivory,NA
BPI2242,BPA168,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Bromeliaceae,Vriesea,Vriesea bituminosa,Vriesea bituminosa,Herb,NA,Nectarivory,NA
BPI2243,BPA168,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Bromeliaceae,Vriesea,Vriesea sazimae,Vriesea sazimae,Herb,NA,Nectarivory,NA
BPI2244,BPA168,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Campanulaceae,Siphocampylus,Siphocampylus sulfureus,Siphocampylus sulfureus,Herb,Late,Nectarivory,NA
BPI2245,BPA168,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Lythraceae,Lafoensia,Lafoensia aff. replicata,Lafoensia vandelliana,Tree,NA,Nectarivory,NA
BPI2246,BPA168,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Malvaceae,Abutilon,Abutilon aff. regnelli,Abutilon regnellii,Shrub,Early,Nectarivory,NA
BPI2247,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Bromeliaceae,Vriesea,Vriesea bituminosa,Vriesea bituminosa,Herb,NA,Nectarivory,NA
BPI2248,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Bromeliaceae,Vriesea,Vriesea gigantea,Vriesea gigantea,Herb,NA,Nectarivory,NA
BPI2249,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Bromeliaceae,Vriesea,Vriesea longiscapa,Vriesea longiscapa,Herb,NA,Nectarivory,NA
BPI2250,BPA169,BPR140,Anoura,Anoura geoffroyi,Anoura geoffroyi,Nectarivore,Bromeliaceae,Vriesea,Vriesea longiscapa,Vriesea longiscapa,Herb,NA,Nectarivory,NA
BPI2251,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Leguminosae,Mucuna,Mucuna urens,Mucuna urens,Vine,NA,Nectarivory,NA
BPI2252,BPA169,BPR140,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Mucuna,Mucuna urens,Mucuna urens,Vine,NA,Nectarivory,NA
BPI2253,BPA169,BPR140,Platyrrhinus,Platyrrhinus lineatus,Platyrrhinus lineatus,Frugivore,Lythraceae,Lafoensia,Lafoensia glyptocarpa,Lafoensia glyptocarpa,Tree,NA,Nectarivory,NA
BPI2254,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Marcgraviaceae,Marcgravia,Marcgravia polyantha,Marcgravia polyantha,Vine,Late,Nectarivory,NA
BPI2255,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Marcgraviaceae,Marcgravia,Marcgravia aff. polyantha,Marcgravia polyantha,Vine,Late,Nectarivory,NA
BPI2256,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Passifloraceae,Tetrastylis,Tetrastylis ovalis,Tetrastylis ovalis,Vine,Late,Nectarivory,NA
BPI2257,BPA169,BPR140,Anoura,Anoura geoffroyi,Anoura geoffroyi,Nectarivore,Passifloraceae,Tetrastylis,Tetrastylis ovalis,Tetrastylis ovalis,Vine,Late,Nectarivory,NA
BPI2258,BPA169,BPR140,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Rubiaceae,Hillia,Hillia illustris,Hillia illustris,Shrub,NA,Nectarivory,NA
BPI2259,BPA170,BPR141,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Solanaceae,Dyssochroma,Dyssoschroma viridiflorum,Dyssochroma viridiflora,Shrub,NA,Nectarivory,NA
BPI2260,BPA170,BPR141,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Dyssochroma,Dyssoschroma viridiflorum,Dyssochroma viridiflora,Shrub,NA,Frugivory,NA
BPI2261,BPA170,BPR141,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Solanaceae,Dyssochroma,Dyssoschroma viridiflorum,Dyssochroma viridiflora,Shrub,NA,Frugivory,NA
BPI2262,BPA171,BPR141,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Solanaceae,Dyssochroma,Dyssoschroma viridiflorum,Dyssochroma viridiflora,Shrub,NA,Nectarivory,NA
BPI2263,BPA171,BPR141,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Dyssochroma,Dyssoschroma viridiflorum,Dyssochroma viridiflora,Shrub,NA,Frugivory,NA
BPI2264,BPA171,BPR141,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Solanaceae,Dyssochroma,Dyssoschroma viridiflorum,Dyssochroma viridiflora,Shrub,NA,Frugivory,NA
BPI2265,BPA172,BPR142,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Malvaceae,Pseudobombax,Pseudobombax grandiflorum,Pseudobombax grandiflorum,Tree,Late,Nectarivory,NA
BPI2266,BPA172,BPR142,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Malvaceae,Pseudobombax,Pseudobombax grandiflorum,Pseudobombax grandiflorum,Tree,Late,Nectarivory,NA
BPI2267,BPA173,BPR143,Leptonycteris,Leptonycteris curasoae,Leptonycteris yerbabuenae,Nectarivore,Asparagaceae,Agave,Agave palmeri,Agave palmeri,Herb,NA,Nectarivory,NA
BPI2268,BPA174,BPR144,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Stenocereus,Stenocereus grisseus,Stenocereus griseus,Succulent,NA,Frugivory,62
BPI2269,BPA174,BPR144,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Cereus,Subpilocereus repandus,Cereus repandus,Succulent,NA,Frugivory,51
BPI2270,BPA174,BPR144,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus tillianus,Pilosocereus tillianus,Succulent,NA,Frugivory,18
BPI2271,BPA174,BPR144,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Moraceae,Maclura,Chlorophora tinctoria,Maclura tinctoria,Tree,Late,Frugivory,33
BPI2272,BPA175,BPR145,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Cactaceae,Unidentified,Unidentified pollen,Unidentified sp.,NA,NA,Nectarivory,NA
BPI2273,BPA175,BPR145,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Asparagaceae,Agave,Agave sp.,Agave sp.,Herb,NA,Nectarivory,NA
BPI2274,BPA175,BPR145,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2275,BPA175,BPR145,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus lanuginosus,Pilosocereus lanuginosus,Succulent,NA,Frugivory,NA
BPI2276,BPA176,BPR146,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Stenocereus,Stenocereus grisseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2277,BPA176,BPR146,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Cereus,Subpilocereus repandus,Cereus repandus,Succulent,NA,Frugivory,NA
BPI2278,BPA176,BPR146,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus tillianus,Pilosocereus tillianus,Succulent,NA,Frugivory,NA
BPI2279,BPA176,BPR146,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Moraceae,Maclura,Chlorophora tinctoria,Maclura tinctoria,Tree,Late,Frugivory,NA
BPI2280,BPA176,BPR146,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Unidentified,Unidentified pollen,Unidentified sp.,NA,NA,Nectarivory,NA
BPI2281,BPA176,BPR146,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Asparagaceae,Agave,Agave sp.,Agave sp.,Herb,NA,Nectarivory,NA
BPI2282,BPA176,BPR146,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Cactaceae,Stenocereus,Stenocereus grisseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2283,BPA176,BPR146,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Cactaceae,Cereus,Subpilocereus repandus,Cereus repandus,Succulent,NA,Frugivory,NA
BPI2284,BPA176,BPR146,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Cactaceae,Unidentified,Unidentified pollen,Unidentified sp.,NA,NA,Nectarivory,NA
BPI2285,BPA176,BPR146,Leptonycteris,Leptonycteris curasoae,Leptonycteris curasoae,Nectarivore,Asparagaceae,Agave,Agave sp.,Agave sp.,Herb,NA,Nectarivory,NA
BPI2286,BPA177,BPR147,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Stenocereus,Stenocereus griseus,Stenocereus griseus,Succulent,NA,Frugivory,NA
BPI2287,BPA177,BPR147,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Cereus,Subpilocereus repandus,Cereus repandus,Succulent,NA,Frugivory,NA
BPI2288,BPA177,BPR147,Glossophaga,Glossophaga longirostris,Glossophaga longirostris,Nectarivore,Cactaceae,Pilosocereus,Pilosocereus tillianus,Pilosocereus tillianus,Succulent,NA,Frugivory,NA
BPI2289,BPA178,BPR148,Carollia,Carollia castanea,Carollia castanea,Frugivore,Euphorbiaceae,Mabea,Mabea occidentalis,Mabea occidentalis,Tree,NA,Nectarivory,NA
BPI2290,BPA178,BPR148,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Euphorbiaceae,Mabea,Mabea occidentalis,Mabea occidentalis,Tree,NA,Nectarivory,NA
BPI2291,BPA179,BPR149,Musonycteris,Musonycteris harrisoni,Musonycteris harrisoni,Nectarivore,Malvaceae,Ceiba,Ceiba grandiflora,Ceiba aesculifolia,Tree,Late,Nectarivory,88
BPI2292,BPA179,BPR149,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Malvaceae,Ceiba,Ceiba grandiflora,Ceiba aesculifolia,Tree,Late,Nectarivory,91
BPI2293,BPA179,BPR149,Leptonycteris,Leptonycteris curasoae,Leptonycteris yerbabuenae,Nectarivore,Malvaceae,Ceiba,Ceiba grandiflora,Ceiba aesculifolia,Tree,Late,Nectarivory,69
BPI2294,BPA180,BPR150,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia glaziovi,Cecropia glaziovii,Tree,Early,Frugivory,3
BPI2295,BPA180,BPR150,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia hololeuca,Cecropia hololeuca,Tree,Late,Frugivory,3
BPI2296,BPA180,BPR150,Artibeus,Artibeus fimbriatus,Artibeus fimbriatus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachia,Cecropia pachystachya,Tree,Early,Frugivory,4
BPI2297,BPA180,BPR150,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachia,Cecropia pachystachya,Tree,Early,Frugivory,14
BPI2298,BPA180,BPR150,Platyrrhinus,Platyrrhinus lineatus,Platyrrhinus lineatus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachia,Cecropia pachystachya,Tree,Early,Frugivory,3
BPI2299,BPA180,BPR150,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,16
BPI2300,BPA180,BPR150,Chiroderma,Chiroderma doriae,Chiroderma doriae,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,1
BPI2301,BPA180,BPR150,Platyrrhinus,Platyrrhinus recifinus,Platyrrhinus recifinus,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,1
BPI2302,BPA180,BPR150,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper arboreum,Piper arboreum,Shrub,Early,Frugivory,2
BPI2303,BPA180,BPR150,Artibeus,Artibeus fimbriatus,Artibeus fimbriatus,Frugivore,Piperaceae,Piper,Piper sp. 1,Piper sp. 1,Shrub,NA,Frugivory,1
BPI2304,BPA180,BPR150,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp. 1,Piper sp. 1,Shrub,NA,Frugivory,7
BPI2305,BPA180,BPR150,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Piperaceae,Piper,Piper sp. 1,Piper sp. 1,Shrub,NA,Frugivory,1
BPI2306,BPA180,BPR150,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp. 2,Piper sp. 2,Shrub,NA,Frugivory,3
